"Name","Activity type","Description"
"08/28/2012 9:58pm","",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)","Battery level (%)"
"1","1","37.394681","-121.926516","-23.82279396057129","0.0","32","0","2012-08-29T04:58:51.155Z",,,,
"1","2","37.394681","-121.926516","-23.82279396057129","0.0","32","0","2012-08-29T04:58:51.155Z",,,,
"1","3","37.394681","-121.926516","-10.98235034942627","0.0","16","0","2012-08-29T04:58:54.153Z",,,,
"1","4","37.394669","-121.926587","-13.258877754211426","0.0","16","1.558","2012-08-29T04:58:55.152Z",,,,
"1","5","37.394669","-121.926587","-13.258877754211426","0.0","16","1.558","2012-08-29T04:58:55.152Z",,,,
"1","6","37.394669","-121.926587","-15.710187911987305","0.0","16","0","2012-08-29T04:58:56.153Z",,,,
"1","7","37.394624","-121.926627","-10.935169219970703","0.0","16","1.6619","2012-08-29T04:58:58.154Z",,,,
"1","8","37.394581","-121.926661","-5.438144683837891","205.3269500732422","16","1.1909","2012-08-29T04:59:00.154Z",,,,
"1","9","37.394581","-121.926661","-5.438144683837891","205.3269500732422","16","1.1909","2012-08-29T04:59:00.154Z",,,,
"1","10","37.394581","-121.926661","-5.791718006134033","205.3269500732422","16","0","2012-08-29T04:59:01.153Z",,,,
"1","11","37.394528","-121.926684","-8.980466842651367","205.90016174316406","6","1.2922","2012-08-29T04:59:03.000Z",,,,
"1","12","37.394482","-121.926693","-15.30539321899414","198.29296875","8","1.5999","2012-08-29T04:59:08.000Z",,,,
"1","13","37.394482","-121.926693","-15.30539321899414","198.29296875","8","1.5999","2012-08-29T04:59:08.000Z",,,,
"1","14","37.394482","-121.926693","-24.392274856567383","198.29296875","8","0","2012-08-29T04:59:18.000Z",,,,
"1","15","37.394491","-121.926612","-23.80780792236328","198.29296875","6","0","2012-08-29T04:59:19.000Z",,,,
"1","16","37.394484","-121.926544","-23.65471076965332","198.29296875","6","0","2012-08-29T04:59:25.000Z",,,,
"1","17","37.394437","-121.926556","-21.44758415222168","249.14816284179688","8","1.0901","2012-08-29T04:59:32.000Z",,,,
"1","18","37.394492","-121.926622","-19.041610717773438","304.5448913574219","8","0","2012-08-29T04:59:38.000Z",,,,
"1","19","37.39452","-121.926674","-19.019689559936523","304.2705078125","12","4.2506","2012-08-29T04:59:39.000Z",,,,
"1","20","37.394563","-121.926718","-19.045860290527344","324.89129638671875","12","4.1478","2012-08-29T04:59:40.000Z",,,,
"1","21","37.394615","-121.926736","-19.055917739868164","352.7945251464844","8","4.0171","2012-08-29T04:59:41.000Z",,,,
"1","22","37.394665","-121.926727","-18.577062606811523","14.24890422821045","8","4.0904","2012-08-29T04:59:42.000Z",,,,
"1","23","37.394718","-121.926711","-17.58896827697754","21.04834747314453","8","4.1553","2012-08-29T04:59:43.000Z",,,,
"1","24","37.39478","-121.926662","-16.761362075805664","34.32218933105469","8","4.4019","2012-08-29T04:59:44.000Z",,,,
"1","25","37.394846","-121.926603","-16.596649169921875","37.81836700439453","8","4.6913","2012-08-29T04:59:45.000Z",,,,
"1","26","37.394913","-121.92654","-16.200969696044922","37.449275970458984","8","4.9423","2012-08-29T04:59:46.000Z",,,,
"1","27","37.394965","-121.926489","-15.8212890625","38.147891998291016","8","4.976","2012-08-29T04:59:47.000Z",,,,
"1","28","37.395014","-121.926441","-15.822613716125488","27.826025009155273","8","4.8621","2012-08-29T04:59:48.000Z",,,,
"1","29","37.395078","-121.92643","-15.777082443237305","346.4597473144531","8","4.3495","2012-08-29T04:59:50.000Z",,,,
"1","30","37.395079","-121.926496","-16.066057205200195","249.07583618164063","6","0","2012-08-29T04:59:53.000Z",,,,
"1","31","37.395017","-121.926584","-16.840852737426758","222.77940368652344","6","3.939","2012-08-29T04:59:55.000Z",,,,
"1","32","37.394952","-121.92665","-17.527416229248047","215.4103240966797","6","4.0555","2012-08-29T04:59:56.000Z",,,,
"1","33","37.394876","-121.926728","-17.385135650634766","221.64144897460938","8","4.3604","2012-08-29T04:59:57.000Z",,,,
"1","34","37.394805","-121.926802","-17.84464454650879","221.31956481933594","8","4.7826","2012-08-29T04:59:58.000Z",,,,
"1","35","37.394729","-121.92689","-17.654476165771484","224.7668914794922","8","9.276","2012-08-29T04:59:59.000Z",,,,
"1","36","37.394653","-121.926982","-17.37578773498535","224.42601013183594","8","9.548","2012-08-29T05:00:00.000Z",,,,
"1","37","37.394578","-121.927072","-17.777368545532227","223.6368865966797","8","9.919","2012-08-29T05:00:01.000Z",,,,
"1","38","37.394498","-121.927168","-18.46613311767578","222.9943084716797","8","10.2413","2012-08-29T05:00:02.000Z",,,,
"1","39","37.394415","-121.927259","-19.115093231201172","222.37034606933594","6","10.4121","2012-08-29T05:00:03.000Z",,,,
"1","40","37.394332","-121.927342","-19.40267562866211","222.0196533203125","6","10.5288","2012-08-29T05:00:04.000Z",,,,
"1","41","37.394249","-121.927423","-19.787355422973633","221.53652954101563","6","10.5961","2012-08-29T05:00:05.000Z",,,,
"1","42","37.394178","-121.927496","-20.2830867767334","222.11825561523438","6","10.3349","2012-08-29T05:00:06.000Z",,,,
"1","43","37.394114","-121.927565","-20.427459716796875","222.3956756591797","8","10.1785","2012-08-29T05:00:07.000Z",,,,
"1","44","37.394045","-121.927641","-20.47105598449707","222.77374267578125","8","10.0026","2012-08-29T05:00:08.000Z",,,,
"1","45","37.39397","-121.927723","-20.864267349243164","223.22776794433594","6","9.7777","2012-08-29T05:00:09.000Z",,,,
"1","46","37.393907","-121.927796","-21.314598083496094","223.6095428466797","6","9.6422","2012-08-29T05:00:10.000Z",,,,
"1","47","37.393842","-121.92787","-21.812898635864258","223.75877380371094","6","9.5393","2012-08-29T05:00:11.000Z",,,,
"1","48","37.393781","-121.927938","-22.060644149780273","223.14454650878906","6","8.1014","2012-08-29T05:00:12.000Z",,,,
"1","49","37.393736","-121.927984","-21.894775390625","222.6721954345703","4","6.2195","2012-08-29T05:00:13.000Z",,,,
"1","50","37.393689","-121.928028","-21.55288314819336","222.05099487304688","12","3.5563","2012-08-29T05:00:15.000Z",,,,
"1","51","37.393665","-121.928143","-22.250320434570313","268.9072570800781","6","4.3809","2012-08-29T05:00:28.000Z",,,,
"1","52","37.393681","-121.928216","-22.73682975769043","288.8775634765625","6","5.0924","2012-08-29T05:00:29.000Z",,,,
"1","53","37.393722","-121.928286","-22.93836212158203","311.28802490234375","8","6.0107","2012-08-29T05:00:30.000Z",,,,
"1","54","37.393782","-121.928335","-22.999441146850586","325.84979248046875","8","7.9098","2012-08-29T05:00:31.000Z",,,,
"1","55","37.393864","-121.928391","-22.894865036010742","327.430419921875","8","10.2481","2012-08-29T05:00:32.000Z",,,,
"1","56","37.39397","-121.928468","-22.777481079101563","328.3524475097656","8","10.9233","2012-08-29T05:00:33.000Z",,,,
"1","57","37.394089","-121.928555","-22.36630630493164","328.8322448730469","8","12.3225","2012-08-29T05:00:34.000Z",,,,
"1","58","37.394241","-121.928658","-22.248493194580078","327.9805908203125","6","13.3676","2012-08-29T05:00:35.000Z",,,,
"1","59","37.39438","-121.928755","-21.988170623779297","328.3706970214844","6","14.2392","2012-08-29T05:00:36.000Z",,,,
"1","60","37.394516","-121.928852","-21.764392852783203","328.1306457519531","6","15.4648","2012-08-29T05:00:37.000Z",,,,
"1","61","37.394645","-121.928941","-21.203006744384766","328.0570068359375","6","16.1161","2012-08-29T05:00:38.000Z",,,,
"1","62","37.394783","-121.929042","-20.463287353515625","328.41412353515625","6","16.2402","2012-08-29T05:00:39.000Z",,,,
"1","63","37.394922","-121.929143","-20.089710235595703","328.8770751953125","6","16.3905","2012-08-29T05:00:40.000Z",,,,
"1","64","37.39506","-121.929237","-20.101011276245117","329.9364013671875","6","16.4983","2012-08-29T05:00:41.000Z",,,,
"1","65","37.395198","-121.929328","-19.793691635131836","330.9429931640625","6","16.4284","2012-08-29T05:00:42.000Z",,,,
"1","66","37.395331","-121.929416","-19.872520446777344","331.7292175292969","6","16.3752","2012-08-29T05:00:43.000Z",,,,
"1","67","37.395466","-121.929499","-20.645727157592773","332.7572021484375","8","16.2359","2012-08-29T05:00:44.000Z",,,,
"1","68","37.395604","-121.929587","-21.571523666381836","331.9075012207031","8","16.5026","2012-08-29T05:00:45.000Z",,,,
"1","69","37.39573","-121.929676","-22.655872344970703","330.16436767578125","8","15.5478","2012-08-29T05:00:46.000Z",,,,
"1","70","37.395854","-121.929776","-23.7489070892334","328.9268493652344","8","15.6063","2012-08-29T05:00:47.000Z",,,,
"1","71","37.395976","-121.929875","-25.130327224731445","328.2846984863281","8","15.445","2012-08-29T05:00:48.000Z",,,,
"1","72","37.396097","-121.929974","-26.31392478942871","328.0550537109375","8","15.4202","2012-08-29T05:00:49.000Z",,,,
"1","73","37.396213","-121.930067","-27.772764205932617","328.3920593261719","8","15.46","2012-08-29T05:00:50.000Z",,,,
"1","74","37.396332","-121.930161","-29.433008193969727","327.5995178222656","6","15.6538","2012-08-29T05:00:51.000Z",,,,
"1","75","37.396451","-121.930256","-31.090003967285156","328.4647521972656","6","15.5169","2012-08-29T05:00:52.000Z",,,,
"1","76","37.396576","-121.930351","-32.8247184753418","328.7164306640625","6","15.542","2012-08-29T05:00:53.000Z",,,,
"1","77","37.396697","-121.930446","-34.19358825683594","329.464111328125","6","15.4811","2012-08-29T05:00:54.000Z",,,,
"1","78","37.396817","-121.930539","-34.99891662597656","329.50811767578125","6","15.5488","2012-08-29T05:00:55.000Z",,,,
"1","79","37.396935","-121.930627","-36.01990509033203","329.460205078125","6","15.3605","2012-08-29T05:00:56.000Z",,,,
"1","80","37.39705","-121.93071","-37.069271087646484","329.3451843261719","6","15.1128","2012-08-29T05:00:57.000Z",,,,
"1","81","37.397163","-121.93079","-38.104469299316406","329.7027282714844","6","14.6877","2012-08-29T05:00:58.000Z",,,,
"1","82","37.397276","-121.930869","-38.55543518066406","330.0674743652344","8","14.4598","2012-08-29T05:00:59.000Z",,,,
"1","83","37.39739","-121.93095","-39.018253326416016","329.82244873046875","8","14.5125","2012-08-29T05:01:00.000Z",,,,
"1","84","37.397503","-121.93103","-39.93333053588867","330.2210998535156","8","14.6393","2012-08-29T05:01:01.000Z",,,,
"1","85","37.397611","-121.93111","-41.34383010864258","329.8311462402344","8","13.9693","2012-08-29T05:01:02.000Z",,,,
"1","86","37.397717","-121.931187","-42.06806945800781","329.837158203125","12","13.7992","2012-08-29T05:01:03.000Z",,,,
"1","87","37.397821","-121.931265","-42.421260833740234","329.86590576171875","12","13.7054","2012-08-29T05:01:04.000Z",,,,
"1","88","37.397923","-121.931342","-42.36008834838867","329.3028869628906","8","13.6553","2012-08-29T05:01:05.000Z",,,,
"1","89","37.398014","-121.931403","-41.16218185424805","329.6582946777344","8","13.4118","2012-08-29T05:01:06.000Z",,,,
"1","90","37.398114","-121.931474","-40.13067626953125","330.50714111328125","8","13.1054","2012-08-29T05:01:07.000Z",,,,
"1","91","37.398202","-121.931537","-39.768577575683594","329.58343505859375","8","12.7482","2012-08-29T05:01:08.000Z",,,,
"1","92","37.398283","-121.931593","-39.47795104980469","328.05352783203125","8","11.9323","2012-08-29T05:01:09.000Z",,,,
"1","93","37.398368","-121.931663","-38.96928024291992","327.77618408203125","8","12.0699","2012-08-29T05:01:10.000Z",,,,
"1","94","37.398463","-121.931739","-38.06916809082031","327.476318359375","8","12.2199","2012-08-29T05:01:11.000Z",,,,
"1","95","37.398559","-121.93182","-37.56413269042969","326.9477233886719","8","12.0985","2012-08-29T05:01:12.000Z",,,,
"1","96","37.398638","-121.931881","-36.74396896362305","326.2480163574219","6","10.6284","2012-08-29T05:01:13.000Z",,,,
"1","97","37.39871","-121.931941","-36.247501373291016","325.84881591796875","12","9.711","2012-08-29T05:01:14.000Z",,,,
"1","98","37.398767","-121.931987","-35.6693000793457","326.6158752441406","12","7.6543","2012-08-29T05:01:15.000Z",,,,
"1","99","37.398818","-121.932013","-35.44069290161133","328.6142272949219","12","2.3471","2012-08-29T05:01:17.000Z",,,,
"1","100","37.398818","-121.932013","-35.44069290161133","328.6142272949219","12","2.3471","2012-08-29T05:01:17.000Z",,,,
"1","101","37.398818","-121.932013","-35.04007339477539","328.6142272949219","4","0","2012-08-29T05:01:27.000Z",,,,
"1","102","37.398885","-121.932078","-32.08699035644531","305.778564453125","8","6.232","2012-08-29T05:01:30.000Z",,,,
"1","103","37.398925","-121.932144","-30.66098403930664","304.66412353515625","8","6.2718","2012-08-29T05:01:31.000Z",,,,
"1","104","37.39895","-121.932237","-30.071504592895508","283.1020202636719","8","7.4793","2012-08-29T05:01:32.000Z",,,,
"1","105","37.398963","-121.932325","-29.657533645629883","280.4621887207031","8","7.5206","2012-08-29T05:01:33.000Z",,,,
"1","106","37.398949","-121.932436","-29.639484405517578","257.3114929199219","8","8.4371","2012-08-29T05:01:34.000Z",,,,
"1","107","37.398922","-121.93254","-29.523242950439453","253.34649658203125","8","9.62","2012-08-29T05:01:35.000Z",,,,
"1","108","37.398877","-121.93264","-28.66972541809082","250.7251434326172","8","10.594","2012-08-29T05:01:36.000Z",,,,
"1","109","37.398832","-121.93277","-27.559402465820313","248.79830932617188","12","10.8864","2012-08-29T05:01:37.000Z",,,,
"1","110","37.398774","-121.932913","-26.723974227905273","247.44091796875","8","11.7223","2012-08-29T05:01:38.000Z",,,,
"1","111","37.398707","-121.933075","-26.056076049804688","246.66697692871094","8","13.0478","2012-08-29T05:01:39.000Z",,,,
"1","112","37.398639","-121.933221","-25.557605743408203","246.1937713623047","8","13.478","2012-08-29T05:01:40.000Z",,,,
"1","113","37.39857","-121.933378","-25.621536254882813","245.37940979003906","8","14.3946","2012-08-29T05:01:41.000Z",,,,
"1","114","37.398502","-121.933536","-25.6898136138916","245.31036376953125","6","14.5267","2012-08-29T05:01:42.000Z",,,,
"1","115","37.398433","-121.933696","-26.178184509277344","244.98641967773438","6","15.3164","2012-08-29T05:01:43.000Z",,,,
"1","116","37.398358","-121.933877","-26.7940673828125","244.36854553222656","6","15.4829","2012-08-29T05:01:44.000Z",,,,
"1","117","37.39828","-121.934063","-27.230592727661133","244.037353515625","6","16.9435","2012-08-29T05:01:45.000Z",,,,
"1","118","37.398204","-121.934238","-27.599252700805664","243.66502380371094","6","16.9975","2012-08-29T05:01:46.000Z",,,,
"1","119","37.398127","-121.934419","-27.84573745727539","243.2779083251953","6","17.131","2012-08-29T05:01:47.000Z",,,,
"1","120","37.398052","-121.934596","-28.06955909729004","243.05715942382813","6","17.0897","2012-08-29T05:01:48.000Z",,,,
"1","121","37.397979","-121.934773","-28.50819969177246","243.86183166503906","6","17.04","2012-08-29T05:01:49.000Z",,,,
"1","122","37.397906","-121.934952","-28.73274040222168","243.9394989013672","6","17.0095","2012-08-29T05:01:50.000Z",,,,
"1","123","37.397837","-121.935122","-28.843257904052734","244.17025756835938","6","16.8245","2012-08-29T05:01:51.000Z",,,,
"1","124","37.397773","-121.935278","-29.162879943847656","243.48316955566406","6","15.7196","2012-08-29T05:01:52.000Z",,,,
"1","125","37.397713","-121.935422","-29.22488021850586","243.34170532226563","6","14.8238","2012-08-29T05:01:53.000Z",,,,
